tier	lineage	cell_type	size_gib	gs_path
ADD	endocrine	Zhang2021-thyroid_tissue	1.2	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-thyroid_tissue/fragments_standardized.tar.gz
ADD	endocrine	Zhang2021-pancreatic_tissue	1.0	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-pancreatic_tissue/fragments_standardized.tar.gz
ADD	eye	Domcke2020-ocular_tissue	2.4	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Domcke2020/Domcke2020-ocular_tissue/fragments_standardized.tar.gz
ADD	immune_blood	Satpathy2019-peripheral_blood_mononuclear_cells	7.7	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Satpathy2019/Satpathy2019-peripheral_blood_mononuclear_cells/fragments_standardized.tar.gz
ADD	immune_blood	Granja2019-bone_marrow_tissue	4.3	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Granja2019/Granja2019-bone_marrow_tissue/fragments_standardized.tar.gz
ADD	immune_blood	Satpathy2019-bone_marrow_tissue	4.1	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Satpathy2019/Satpathy2019-bone_marrow_tissue/fragments_standardized.tar.gz
ADD	immune_blood	Domcke2020-thymic_tissue	3.4	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Domcke2020/Domcke2020-thymic_tissue/fragments_standardized.tar.gz
ADD	immune_blood	Mimitou2021-peripheral_blood_mononuclear_cells__CD4_CRISPR_perturbation	2.2	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Mimitou2021/Mimitou2021-peripheral_blood_mononuclear_cells__CD4_CRISPR_perturbation/fragments_standardized.tar.gz
ADD	immune_blood	Lareau2019-bone_marrow_tissue	1.6	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Lareau2019/Lareau2019-bone_marrow_tissue/fragments_standardized.tar.gz
ADD	immune_blood	Mimitou2021-peripheral_blood_mononuclear_cells__DOGMAseq_stimulation	1.5	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Mimitou2021/Mimitou2021-peripheral_blood_mononuclear_cells__DOGMAseq_stimulation/fragments_standardized.tar.gz
ADD	immune_blood	Mimitou2021-peripheral_blood_mononuclear_cells__ASAPseq_CITEseq_stimulation	1.4	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Mimitou2021/Mimitou2021-peripheral_blood_mononuclear_cells__ASAPseq_CITEseq_stimulation/fragments_standardized.tar.gz
ADD	immune_blood	Granja2019-peripheral_blood_mononuclear_cells	1.3	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Granja2019/Granja2019-peripheral_blood_mononuclear_cells/fragments_standardized.tar.gz
ADD	renal	Muto2021-kidney_tissue	3.1	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Muto2021/Muto2021-kidney_tissue/fragments_standardized.tar.gz
ADD	reproductive	Domcke2020-placental_tissue	2.6	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Domcke2020/Domcke2020-placental_tissue/fragments_standardized.tar.gz
ADD	stromal_other	Domcke2020-muscle_tissue	4.2	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Domcke2020/Domcke2020-muscle_tissue/fragments_standardized.tar.gz
ADD	stromal_other	Zhang2021-vascular_tissue	1.9	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-vascular_tissue/fragments_standardized.tar.gz
ADD	stromal_other	Zhang2021-muscle_tissue	1.9	gs://cfdx-experiments/dna_fm/experiments/jg_experiments/scatac_corpus/Zhang2021/Zhang2021-muscle_tissue/fragments_standardized.tar.gz
